split,unique_dates,event_dates,event_day_share,mean_event_count_total,mean_event_count_city_calendar,mean_event_count_tse_permit
train,305,2,0.006557377049180328,0.03278688524590164,2.144262295081967,8.668852459016394
val,172,108,0.627906976744186,10.05232558139535,0.313953488372093,5.622093023255814
test,172,142,0.8255813953488372,3.377906976744186,0.0,1.127906976744186
