model,metric,baseline,with_event_controls,delta
L1 Logistic,roc_auc,0.5479511116980078,0.5480633198148182,0.00011220811681034171
L1 Logistic,pr_auc,0.5182866114463432,0.5184295042427269,0.0001428927963836868
L1 Logistic,f1,0.5095339432117816,0.5947447275866885,0.08521078437490692
L1 Logistic,brier,0.29073915486957363,0.2924358335867109,0.0016966787171372455
XGBoost,roc_auc,0.5935958417475605,0.5902405326583896,-0.0033553090891709214
XGBoost,pr_auc,0.5666301413676474,0.5662761778548878,-0.00035396351275962523
XGBoost,f1,0.5696035848352037,0.5592258952286473,-0.010377689606556384
XGBoost,brier,0.362546161331792,0.3564053967137533,-0.0061407646180386966
