robustness_check,model,metric,baseline,robustness,delta
event_controls,L1 Logistic,roc_auc,0.5479511116980078,0.5480633198148182,0.00011220811681034171
event_controls,L1 Logistic,pr_auc,0.5182866114463432,0.5184295042427269,0.0001428927963836868
event_controls,L1 Logistic,f1,0.5095339432117816,0.5947447275866885,0.08521078437490692
event_controls,L1 Logistic,brier,0.29073915486957363,0.2924358335867109,0.0016966787171372455
event_controls,XGBoost,roc_auc,0.5935958417475605,0.5902405326583896,-0.0033553090891709214
event_controls,XGBoost,pr_auc,0.5666301413676474,0.5662761778548878,-0.00035396351275962523
event_controls,XGBoost,f1,0.5696035848352037,0.5592258952286473,-0.010377689606556384
event_controls,XGBoost,brier,0.362546161331792,0.3564053967137533,-0.0061407646180386966
weather_controls,L1 Logistic,roc_auc,0.5479511116980078,0.5477076179110719,-0.00024349378693588886
weather_controls,L1 Logistic,pr_auc,0.5182866114463432,0.5180837304955133,-0.0002028809508299867
weather_controls,L1 Logistic,f1,0.5095339432117816,0.5091471182755516,-0.00038682493622999026
weather_controls,L1 Logistic,brier,0.29073915486957363,0.29094489458508355,0.00020573971550991166
weather_controls,XGBoost,roc_auc,0.5935958417475605,0.5931145861609928,-0.0004812555865677526
weather_controls,XGBoost,pr_auc,0.5666301413676474,0.5641584367108927,-0.002471704656754725
weather_controls,XGBoost,f1,0.5696035848352037,0.567284983562977,-0.002318601272226717
weather_controls,XGBoost,brier,0.362546161331792,0.3587443686133415,-0.003801792718450492
